"","seuil_t","̩chelle_t","forme_t","Theta_t"
"1",5.68011502025888,1.03336185103281,-0.194214757008029,11.0008324927735
"2",5.67719462445108,1.01122091335273,-0.182727461740114,11.2112336994914
"3",5.66165135128349,0.98655629175615,-0.165440202124921,11.6248711677778
"4",5.66506969487764,0.971165125916411,-0.156229489113262,11.8813425088554
"5",5.67605237462175,0.959682193413212,-0.148099111256804,12.1560520536821
"6",5.66494814970208,0.938671308238321,-0.13515537366194,12.6100756929561
"7",5.6349089589367,0.908625852755748,-0.116738336271168,13.4183491018999
"8",5.63108017878291,0.890383070322502,-0.104887513541869,14.1200131342493
"9",5.65343672317593,0.887057172262637,-0.103923427260546,14.1891172299273
"10",5.64463188563806,0.871645633317689,-0.0944997469593291,14.8684198995132
"11",5.63570373568174,0.856332448616035,-0.084117173944936,15.8159369562676
"12",5.6277672047941,0.843183384352125,-0.0779021122428703,16.4513939342387
"13",5.61155637224304,0.828310216320689,-0.0699051956054401,17.4606072066882
"14",5.60447920221294,0.819848316364469,-0.0668507611790259,17.8683383102479
"15",5.60011919869863,0.812765255742212,-0.0651222758384386,18.0807219613938
"16",5.60781697780287,0.814319703908241,-0.0716535503622943,16.9724974408209
"17",5.60219793496545,0.81006292197804,-0.0753182201621509,16.3574032522721
"18",5.60054786501209,0.807225293464432,-0.0803509543807006,15.6467918665434
"19",5.5913182739291,0.80083570286002,-0.0826144911809814,15.2849651319077
"20",5.59167812893332,0.798438353538592,-0.0871427696570467,14.7540946630976
"21",5.59551212858253,0.79859287144537,-0.093717847447898,14.1167585420722
"22",5.59075934294348,0.793454475066573,-0.0963418627292079,13.8265817838773
"23",5.61251038738096,0.803924369285941,-0.110713555845848,12.8738106242307
"24",5.59682491454679,0.793547740730883,-0.110763813454952,12.7611479545225
"25",5.6015837124523,0.79369351675672,-0.116866761005329,12.3930230398461
"26",5.60407097638068,0.793628728326343,-0.124542903984968,11.97640294338
"27",5.60344513585584,0.795879666060299,-0.130945386034697,11.6813963349108
"28",5.60056893385003,0.79827186182809,-0.138089334907372,11.3814053928246
"29",5.5973152680975,0.800582756028439,-0.145241653396453,11.1093893687906
"30",5.58950501136243,0.803744336673763,-0.152932572408886,10.845052106489
"31",5.58920942196509,0.809061856647,-0.161754937068017,10.590984769983
"32",5.59551840027017,0.817783745277765,-0.172026865584885,10.3493325356224
"33",5.59989694583622,0.82584248506162,-0.182569247322621,10.123344882291
"34",5.60264968628008,0.832293208720772,-0.191301353060836,9.95334138502667
"35",5.61557953903416,0.845261608317262,-0.204732118396466,9.74420193076071
"36",5.6068534903092,0.847263993794968,-0.209468233404915,9.65168635122875
"37",5.61696453889766,0.85584639254231,-0.218962015013855,9.52561687975302
